hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
GDF5	growth differentiation factor 5	TGF-beta family	NA	NA	NA	NA
GDF6	growth differentiation factor 6	TGF-beta family	NA	NA	NA	NA
GDF7	growth differentiation factor 7	TGF-beta family	NA	NA	NA	NA
GDF9	growth differentiation factor 9	TGF-beta family	NA	NA	NA	NA
GDNF	glial cell derived neurotrophic factor	TGF-beta family, GDNF subfamily	NA	NA	NA	NA
GH1	growth hormone 1	Somatotropin/prolactin family	NA	NA	NA	NA
GH2	growth hormone 2	Somatotropin/prolactin family	NA	NA	NA	NA
GHRH	growth hormone releasing hormone	Glucagon family	NA	NA	NA	NA
GHRL	ghrelin and obestatin prepropeptide	Motilin family	13182.63	16035.12	0.8221096	0.83
GIP	gastric inhibitory polypeptide	Glucagon family	NA	NA	NA	NA
GNRH1	gonadotropin releasing hormone 1	GnRH family	NA	NA	NA	NA
GNRH2	gonadotropin releasing hormone 2	GnRH family	NA	NA	NA	NA
GPHA2	glycoprotein hormone subunit alpha 2	Glycoprotein hormones subunit alpha family	NA	NA	NA	NA
GREM1	gremlin 1, DAN family BMP antagonist	DAN family	NA	NA	NA	NA
GRN	granulin precursor	Granulin family	14564.98	18380.05	0.792434	2.39e-4
GRP	gastrin releasing peptide	Bombesin/neuromedin-B/ranatensin family	NA	NA	NA	NA
GUCA2A	guanylate cyclase activator 2A	Guanylin family	NA	NA	NA	NA
GUCA2B	guanylate cyclase activator 2B	Guanylin family	NA	NA	NA	NA
HBEGF	heparin binding EGF like growth factor	NA	NA	NA	NA	NA
HCRT	hypocretin neuropeptide precursor	Orexin family	NA	NA	NA	NA
HGF	hepatocyte growth factor	Peptidase S1 family, Plasminogen subfamily	NA	NA	NA	NA
IAPP	islet amyloid polypeptide	Calcitonin family	12088.09	11471.26	1.0537712	0.573
IFNA1	interferon alpha 1	Alpha/beta interferon family	NA	NA	NA	NA
IFNA10	interferon alpha 10	Alpha/beta interferon family	NA	NA	NA	NA
IFNA13	interferon alpha 13	Alpha/beta interferon family	NA	NA	NA	NA
IFNA14	interferon alpha 14	Alpha/beta interferon family	NA	NA	NA	NA
IFNA16	interferon alpha 16	Alpha/beta interferon family	NA	NA	NA	NA
IFNA17	interferon alpha 17	Alpha/beta interferon family	NA	NA	NA	NA
IFNA2	interferon alpha 2	Alpha/beta interferon family	NA	NA	NA	NA
IFNA21	interferon alpha 21	Alpha/beta interferon family	NA	NA	NA	NA
IFNA4	interferon alpha 4	Alpha/beta interferon family	NA	NA	NA	NA
IFNA5	interferon alpha 5	Alpha/beta interferon family	NA	NA	NA	NA
IFNA6	interferon alpha 6	Alpha/beta interferon family	NA	NA	NA	NA
IFNA7	interferon alpha 7	Alpha/beta interferon family	NA	NA	NA	NA
IFNA8	interferon alpha 8	Alpha/beta interferon family	NA	NA	NA	NA
IFNB1	interferon beta 1	Alpha/beta interferon family	NA	NA	NA	NA
IFNE	interferon epsilon	Alpha/beta interferon family	NA	NA	NA	NA
IFNG	interferon gamma	Type II (or gamma) interferon family	NA	NA	NA	NA
IFNK	interferon kappa	Alpha/beta interferon family	NA	NA	NA	NA
IFNL1	interferon lambda 1	Lambda interferon family	NA	NA	NA	NA
IFNL2	interferon lambda 2	Lambda interferon family	NA	NA	NA	NA
IFNL3	interferon lambda 3	Lambda interferon family	NA	NA	NA	NA
IFNW1	interferon omega 1	Alpha/beta interferon family	NA	NA	NA	NA
IGF1	insulin like growth factor 1	Insulin family	NA	NA	NA	NA
IGF2	insulin like growth factor 2	Insulin family	4864.35	2066.14	2.354318	1.86e-4
IGFL1	IGF like family member 1	IGFL family	NA	NA	NA	NA
IGFL2	IGF like family member 2	IGFL family	NA	NA	NA	NA
IGFL3	IGF like family member 3	IGFL family	NA	NA	NA	NA
IHH	Indian hedgehog signaling molecule	Hedgehog family	NA	NA	NA	NA
IL10	interleukin 10	IL-10 family	NA	NA	NA	NA
IL11	interleukin 11	IL-6 superfamily	NA	NA	NA	NA
IL12A	interleukin 12A	IL-6 superfamily	NA	NA	NA	NA
IL12B	interleukin 12B	IL-12B family	NA	NA	NA	NA
IL13	interleukin 13	IL-4/IL-13 family	NA	NA	NA	NA
IL15	interleukin 15	IL-15/IL-21 family	NA	NA	NA	NA
IL16	interleukin 16	NA	NA	340.6	NA	NA
IL17A	interleukin 17A	IL-17 family	NA	NA	NA	NA
IL17B	interleukin 17B	IL-17 family	NA	NA	NA	NA
IL17C	interleukin 17C	IL-17 family	NA	NA	NA	NA
IL17F	interleukin 17F	IL-17 family	NA	NA	NA	NA
IL18	interleukin 18	IL-1 family	3478.68	6335.61	NA	NA
IL19	interleukin 19	IL-10 family	NA	NA	NA	NA
IL1A	interleukin 1 alpha	IL-1 family	NA	NA	NA	NA
IL1B	interleukin 1 beta	IL-1 family	NA	NA	NA	NA
IL1F10	interleukin 1 family member 10	IL-1 family	NA	NA	NA	NA
IL1RN	interleukin 1 receptor antagonist	NA	NA	NA	NA	NA
IL2	interleukin 2	IL-2 family	NA	NA	NA	NA
IL20	interleukin 20	IL-10 family	NA	NA	NA	NA
IL21	interleukin 21	IL-15/IL-21 family	NA	NA	NA	NA
IL22	interleukin 22	IL-10 family	NA	NA	NA	NA
IL23A	interleukin 23 subunit alpha	IL-6 superfamily	NA	NA	NA	NA
IL24	interleukin 24	IL-10 family	NA	NA	NA	NA
IL25	interleukin 25	IL-17 family	NA	NA	NA	NA
IL26	interleukin 26	IL-10 family	NA	NA	NA	NA
IL27	interleukin 27	IL-6 superfamily	NA	NA	NA	NA
IL3	interleukin 3	IL-3 family	NA	NA	NA	NA
IL31	interleukin 31	NA	NA	NA	NA	NA
IL33	interleukin 33	IL-1 family	NA	NA	NA	NA
IL34	interleukin 34	IL-34 family	NA	NA	NA	NA
IL36A	interleukin 36 alpha	IL-1 family	NA	NA	NA	NA
IL36B	interleukin 36 beta	IL-1 family	NA	NA	NA	NA
IL36G	interleukin 36 gamma	IL-1 family	1812.21	1467.06	1.2352673	0.388
IL36RN	interleukin 36 receptor antagonist	IL-1 family	NA	NA	NA	NA
IL37	interleukin 37	IL-1 family	NA	NA	NA	NA
IL4	interleukin 4	IL-4/IL-13 family	NA	NA	NA	NA
IL5	interleukin 5	IL-5 family	NA	NA	NA	NA
IL6	interleukin 6	IL-6 superfamily	NA	NA	NA	NA
IL7	interleukin 7	IL-7/IL-9 family	NA	NA	NA	NA
IL9	interleukin 9	IL-7/IL-9 family	NA	NA	NA	NA
INHA	inhibin subunit alpha	TGF-beta family	NA	NA	NA	NA
INHBA	inhibin subunit beta A	TGF-beta family	NA	NA	NA	NA
INHBB	inhibin subunit beta B	TGF-beta family	NA	NA	NA	NA
INHBC	inhibin subunit beta C	TGF-beta family	NA	NA	NA	NA
INHBE	inhibin subunit beta E	TGF-beta family	NA	NA	NA	NA
INS	insulin	Insulin family	82168.04	415453.24	0.1977793	1.66e-9
INSL3	insulin like 3	Insulin family	NA	NA	NA	NA
INSL5	insulin like 5	Insulin family	NA	NA	NA	NA
KISS1	KiSS-1 metastasis suppressor	KISS1 family	NA	NA	NA	NA
KITLG	KIT ligand	SCF family	NA	NA	NA	NA
KNG1	kininogen 1	NA	NA	NA	NA	NA
LEFTY1	left-right determination factor 1	TGF-beta family	NA	NA	NA	NA
LEFTY2	left-right determination factor 2	TGF-beta family	NA	NA	NA	NA
LEP	leptin	Leptin family	NA	NA	NA	NA
LHB	luteinizing hormone subunit beta	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
LIF	LIF interleukin 6 family cytokine	LIF/OSM family	NA	NA	NA	NA
LTA	lymphotoxin alpha	Tumor necrosis factor family	NA	NA	NA	NA
