Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
P51153,P51153,,RAB13,,7659.66
P51157,P51157,,RAB28,,
P51159,P51159,,RAB27A,,19756.3
P51178,P51178,,PLCD1,,2804.77
P51397,P51397,,DAP,,9850.77
P51398,P51398,,DAP3,,6169.69
P51452,P51452,,DUSP3,,14964.5
P51513,P51513,,NOVA1,,15500.2
P51530,P51530,,DNA2,,6863.58
P51531,P51531,,SMARCA2,,17873.1
P51532,P51532,,SMARCA4,,6309.54
P51553,P51553,,IDH3G,,12111.2
P51570,P51570,,GALK1,,9009.5
P51571,P51571,,SSR4,,78744.7
P51572,P51572,,BCAP31,,83750
P51580,P51580,,TPMT,,3976.58
P51608,P51608,,MECP2,,47062.4
P51610,P51610,,HCFC1,,20165
P51617,P51617,,IRAK1,,579.678
P51636,P51636,,CAV2,,
P51648,P51648,,ALDH3A2,,15607.5
P51649,P51649,,ALDH5A1,,45163.4
P51659,P51659,,HSD17B4,,38025.5
P51665,P51665,,PSMD7,,15248
P51668,P51668,,UBE2D1,,
P51674,P51674,,GPM6A,,1262.24
P51687,P51687,,SUOX,,15232
P51688,P51688,,SGSH,,14504.5
P51689,P51689,,ARSD,,7535.51
P51690,P51690,,ARSL,,11993.4
P51692,P51692,,STAT5B,,12494.5
P51693,P51693,,APLP1,,
P51784,P51784,,USP11,,5997.21
P51790,P51790,,CLCN3,,2442.17
P51793,P51793,,CLCN4,,1401.05
P51797,P51797,,CLCN6,,818.004
P51798,P51798,,CLCN7,,2138.34
P51805,P51805,,PLXNA3,,1293.48
P51809,P51809,,VAMP7,,4128.18
P51812,P51812,,RPS6KA3,,24980.4
P51843,P51843,,NR0B1,,3528.46
P51858,P51858,,HDGF,,74314.4
P51884,P51884,,LUM,,
P51911,P51911,,CNN1,,3323.46
P51948,P51948,,MNAT1,,1543.65
P51956,P51956,,NEK3,,
P51970,P51970,,NDUFA8,,13315
P51991,P51991,,HNRNPA3,,133354
P52209,P52209,,PGD,,59219.6
P52272,P52272,,HNRNPM,,178594
P52292,P52292,,KPNA2,,3358.9
P52294,P52294,,KPNA1,,9283.53
P52298,P52298,,NCBP2,,5378.31
P52306,P52306,,RAP1GDS1,,9254.94
P52429,P52429,,DGKE,,2950.34
P52434,P52434,,POLR2H,,4328.22
P52435,P52435,,POLR2J,,376.842
P52564,P52564,,MAP2K6,,4116.94
P52565,P52565,,ARHGDIA,,155123
P52566,P52566,,ARHGDIB,,13417
P52569,P52569,,SLC7A2,,9145.74
P52594,P52594,,AGFG1,,7799.82
P52597,P52597,,HNRNPF,,37904.3
P52630,P52630,,STAT2,,3004.36
P52655,P52655,,GTF2A1,,4910.83
P52657,P52657,,GTF2A2,,3938.76
P52701,P52701,,MSH6,,6080.84
P52735,P52735,,VAV2,,7768.08
P52747,P52747,,ZNF143,,2264.44
P52756,P52756,,RBM5,,4552.87
P52758,P52758,,RIDA,,13175.1
P52788,P52788,,SMS,,7322.03
P52790,P52790,,HK3,,5149.59
P52815,P52815,,MRPL12,,10334.6
P52824,P52824,,DGKQ,,737.348
P52848,P52848,,NDST1,,1243.78
P52888,P52888,,THOP1,,7592.65
P52895,P52895,,AKR1C2,,1635.96
P52907,P52907,,CAPZA1,,68414.2
P52926,P52926,,HMGA2,,
P52943,P52943,,CRIP2,,39235.2
P52945,P52945,,PDX1,,2738.82
P52948,P52948,,NUP98,,10336
P53004,P53004,,BLVRA,,18241.3
P53007,P53007,,SLC25A1,,51722.7
P53041,P53041,,PPP5C,,14038
P53355,P53355,,DAPK1,,918.066
P53365,P53365,,ARFIP2,,9278.42
P53367,P53367,,ARFIP1,,20185.6
P53370,P53370,,NUDT6,,1343.09
P53384,P53384,,NUBP1,,1056.31
P53396,P53396,,ACLY,,176560
P53539,P53539,,FOSB,,1694.98
P53582,P53582,,METAP1,,3938.38
P53597,P53597,,SUCLG1,,95657.2
P53602,P53602,,MVD,,9244.54
P53609,P53609,,PGGT1B,,3521.27
P53611,P53611,,RABGGTB,,10750.8
P53618,P53618,,COPB1,,43947.3
P53621,P53621,,COPA,,63423.4
P53634,P53634,,CTSC,,3477.92
P53671,P53671,,LIMK2,,
P53672,P53672,,CRYBA2,,6412.84
P53677,P53677,,AP3M2,,1104.09
P53680,P53680,,AP2S1,,9189.61
P53701,P53701,,HCCS,,3175.85
P53778,P53778,,MAPK12,,2260.44
P53779,P53779,,MAPK10,,3547.81
P53801,P53801,,PTTG1IP,,7252.64
P53803,P53803,,POLR2K,,
P53804,P53804,,TTC3,,641.273
P53814,P53814,,SMTN,,822.435
P53985,P53985,,SLC16A1,,
P53990,P53990,,IST1,,19211.2
P53992,P53992,,SEC24C,,26892.3
P53999,P53999,,SUB1,,30709
P54098,P54098,,POLG,,3007.4
P54105,P54105,,CLNS1A,,3680.33
P54136,P54136,,RARS1,,48911.6
P54198,P54198,,HIRA,,1630.7
P54252,P54252,,ATXN3,,9467.69
P54259,P54259,,ATN1,,2163.14
P54274,P54274,,TERF1,,
P54278,P54278,,PMS2,,1915.96
P54289,P54289,,CACNA2D1,,12777.3
P54315,P54315,,PNLIPRP1,,19434.9
P54317,P54317,,PNLIPRP2,,97893.9
P54577,P54577,,YARS1,,119886
P54578,P54578,,USP14,,27475.7
P54619,P54619,,PRKAG1,,6897.39
P54646,P54646,,PRKAA2,,1656.42
P54652,P54652,,HSPA2,,15463.5
P54687,P54687,,BCAT1,,11650
P54709,P54709,,ATP1B3,,12812.9
P54710,P54710,,FXYD2,,13738.7
P54725,P54725,,RAD23A,,14123.9
P54727,P54727,,RAD23B,,89413.4
P54760,P54760,,EPHB4,,
P54764,P54764,,EPHA4,,
P54802,P54802,,NAGLU,,4938.17
P54803,P54803,,GALC,,7735.4
P54819,P54819,,AK2,,91813.5
P54868,P54868,,HMGCS2,,10602.1
P54886,P54886,,ALDH18A1,,41145.5
P54920,P54920,,NAPA,,24264.1
P54922,P54922,,ADPRH,,2582.19
P55010,P55010,,EIF5,,38107.1
P55011,P55011,,SLC12A2,,3691.39
P55036,P55036,,PSMD4,,22234.1
P55039,P55039,,DRG2,,11517.2
P55058,P55058,,PLTP,,3791.09
P55060,P55060,,CSE1L,,22267.7
P55061,P55061,,TMBIM6,,
P55072,P55072,,VCP,,178328
P55081,P55081,,MFAP1,,9641.21
P55084,P55084,,HADHB,,145072
P55145,P55145,,MANF,,15968.2
P55196,P55196,,AFDN,,14506.7
P55199,P55199,,ELL,,2849.75
P55201,P55201,,BRPF1,,
P55209,P55209,,NAP1L1,,17742.2
P55210,P55210,,CASP7,,1351.5
P55212,P55212,,CASP6,,4966.56
P55259,P55259,,GP2,,66062
P55263,P55263,,ADK,,17175.4
P55265,P55265,,ADAR,,23036.5
P55268,P55268,,LAMB2,,6942.43
P55285,P55285,,CDH6,,
P55290,P55290,,CDH13,,1623.77
P55327,P55327,,TPD52,,167144
P55347,P55347,,PKNOX1,,515.624
P55735,P55735,,SEC13,,38767.3
P55769,P55769,,SNU13,,16916.5
P55786,P55786,,NPEPPS,,43572.4
P55789,P55789,,GFER,,2336.71
P55795,P55795,,HNRNPH2,,24325.5
P55809,P55809,,OXCT1,,27639.9
P55854,P55854,,SUMO3,,958.429
P55884,P55884,,EIF3B,,30065.9
P55899,P55899,,FCGRT,,1604.08
P55957,P55957,,BID,,2678.12
P56134,P56134,,ATP5MF,,101157
P56181,P56181,,NDUFV3,,12482
P56182,P56182,,RRP1,,3416.69
P56192,P56192,,MARS1,,41939.3
P56199,P56199,,ITGA1,,10855.7
P56211,P56211,,ARPP19,,1405.99
P56270,P56270,,MAZ,,4822.59
P56377,P56377,,AP1S2,,13152.8
P56378,P56378,,ATP5MPL,,20507
P56381,P56381,,ATP5F1E,,58637.3
P56385,P56385,,ATP5ME,,43360.4
P56470,P56470,,LGALS4,,38824.7
P56524,P56524,,HDAC4,,3096.21
P56537,P56537,,EIF6,,31067.8
P56545,P56545,,CTBP2,,5732.5
P56556,P56556,,NDUFA6,,23488.1
P56589,P56589,,PEX3,,5042.74
P56705,P56705,,WNT4,,
P56817,P56817,,BACE1,,1446.19
P56937,P56937,,HSD17B7,,8802.13
P56945,P56945,,BCAR1,,2852.42
P56962,P56962,,STX17,,6030.43
P57076,P57076,,CFAP298,,
P57078,P57078,,RIPK4,,
P57081,P57081,,WDR4,,
P57087,P57087,,JAM2,,
P57088,P57088,,TMEM33,,11826.3
P57105,P57105,,SYNJ2BP,,11607.6
P57678,P57678,,GEMIN4,,3377.51
P57721,P57721,,PCBP3,,1193.94
P57735,P57735,,RAB25,,6441
P57737,P57737,,CORO7,,21317.2
P57739,P57739,,CLDN2,,
P57740,P57740,,NUP107,,10199.9
P57764,P57764,,GSDMD,,
P57768,P57768,,SNX16,,535.619
P57772,P57772,,EEFSEC,,6172.98
P58004,P58004,,SESN2,,2673.6
P58107,P58107,,EPPK1,,1986.24
P58499,P58499,,FAM3B,,4146.7
P58511,P58511,,SMIM11A,,2091.17
P58546,P58546,,MTPN,,12450.7
P58876,P58876,,H2BC5,,313.129
P59190,P59190,,RAB15,,994.367
P59768,P59768,,GNG2,,11343.9
P59780,P59780,,AP3S2,,8525.79
P59998,P59998,,ARPC4,,38934.9
P60033,P60033,,CD81,,2393.07
P60059,P60059,,SEC61G,,11648.4
P60174,P60174,,TPI1,,276409
P60228,P60228,,EIF3E,,31367.9
P60468,P60468,,SEC61B,,134236
P60484,P60484,,PTEN,,3903.02
P60510,P60510,,PPP4C,,4834.3
P60520,P60520,,GABARAPL2,,5499.97
P60604,P60604,,UBE2G2,,2611.78
P60660,P60660,,MYL6,,122921
P60709,P60709,,ACTB,,1.99868E+06
P60763,P60763,,RAC3,,4928.49
P60842,P60842,,EIF4A1,,101295
P60866,P60866,,RPS20,,100231
P60880,P60880,,SNAP25,,19649.1
P60891,P60891,,PRPS1,,34340
P60900,P60900,,PSMA6,,51269.1
P60903,P60903,,S100A10,,25314.5
P60953,P60953,,CDC42,,48765.9
P60981,P60981,,DSTN,,44463.8
P60983,P60983,,GMFB,,15668
P61006,P61006,,RAB8A,,12504.4
P61009,P61009,,SPCS3,,52065.5
P61011,P61011,,SRP54,,17938.2
P61018,P61018,,RAB4B,,22496.9
P61019,P61019,,RAB2A,,84253.2
P61020,P61020,,RAB5B,,22448.3
P61026,P61026,,RAB10,,54142.9
P61077,P61077,,UBE2D3,,35310.1
P61081,P61081,,UBE2M,,10771.8
P61086,P61086,,UBE2K,,7971.26
P61088,P61088,,UBE2N,,63609.5
P61106,P61106,,RAB14,,64413.7
P61158,P61158,,ACTR3,,34781.1
P61160,P61160,,ACTR2,,48524.3
P61163,P61163,,ACTR1A,,27306.5
P61165,P61165,,TMEM258,,6472.54
P61201,P61201,,COPS2,,18012.3
P61204,P61204,,ARF3,,113710
P61218,P61218,,POLR2F,,4954.52
P61221,P61221,,ABCE1,,12757.3
P61224,P61224,,RAP1B,,94278.5
P61225,P61225,,RAP2B,,2914.99
P61244,P61244,,MAX,,2737.62
P61247,P61247,,RPS3A,,255766
P61254,P61254,,RPL26,,106187
P61278,P61278,,SST,,205386
P61289,P61289,,PSME3,,13151.3
P61313,P61313,,RPL15,,52396.1
P61353,P61353,,RPL27,,170762
P61421,P61421,,ATP6V0D1,,33236.8
P61457,P61457,,PCBD1,,31775.2
P61513,P61513,,RPL37A,,10567.1
P61586,P61586,,RHOA,,196680
P61599,P61599,,NAA20,,
P61601,P61601,,NCALD,,4336.88
P61604,P61604,,HSPE1,,305639
P61619,P61619,,SEC61A1,,64485.8
P61626,P61626,,LYZ,,3691.98
P61758,P61758,,VBP1,,10966.5
P61764,P61764,,STXBP1,,89996.6
P61769,P61769,,B2M,,23169.3
P61803,P61803,,DAD1,,29012.7
P61916,P61916,,NPC2,,7062.33
P61923,P61923,,COPZ1,,19727.6
P61927,P61927,,RPL37,,20707.7
P61956,P61956,,SUMO2,,92064.2
P61960,P61960,,UFM1,,61577.7
P61962,P61962,,DCAF7,,3341.9
P61964,P61964,,WDR5,,5740.54
P61966,P61966,,AP1S1,,22913.5
P61970,P61970,,NUTF2,,61994.3
P61978,P61978,,HNRNPK,,173133
P61981,P61981,,YWHAG,,134517
P62070,P62070,,RRAS2,,3191.85
P62072,P62072,,TIMM10,,1102.08
P62081,P62081,,RPS7,,219044
P62136,P62136,,PPP1CA,,9365.07
P62140,P62140,,PPP1CB,,31025.2
P62191,P62191,,PSMC1,,89433.2
P62195,P62195,,PSMC5,,73542.9
P62241,P62241,,RPS8,,144919
P62244,P62244,,RPS15A,,82511.1
P62249,P62249,,RPS16,,136093
P62253,P62253,,UBE2G1,,4648.89
P62256,P62256,,UBE2H,,5338.72
P62258,P62258,,YWHAE,,404665
P62263,P62263,,RPS14,,130666
P62266,P62266,,RPS23,,64226.9
P62269,P62269,,RPS18,,277384
P62273,P62273,,RPS29,,11981.8
P62277,P62277,,RPS13,,265558
P62280,P62280,,RPS11,,103348
P62304,P62304,,SNRPE,,97682.3
P62306,P62306,,SNRPF,,3081.28
P62310,P62310,,LSM3.00,,24321.3
P62312,P62312,,LSM6.00,,23241.9
P62314,P62314,,SNRPD1,,46422.4
P62316,P62316,,SNRPD2,,69372.5
P62318,P62318,,SNRPD3,,61428.2
P62328,P62328,,TMSB4X,,35968.9
P62330,P62330,,ARF6,,6744.13
P62333,P62333,,PSMC6,,27550.8
P62341,P62341,,SELENOT,,5022.49
P62380,P62380,,TBPL1,,644.145
P62424,P62424,,RPL7A,,103855
P62487,P62487,,POLR2G,,1972.05
P62491,P62491,,RAB11A,,91245.7
P62495,P62495,,ETF1,,27348.3
P62633,P62633,,CNBP,,1929.25
P62699,P62699,,YPEL5,,1575.46
P62701,P62701,,RPS4X,,170772
P62714,P62714,,PPP2CB,,14407.4
P62745,P62745,,RHOB,,7891.19
P62750,P62750,,RPL23A,,95270.3
P62753,P62753,,RPS6,,118445
P62760,P62760,,VSNL1,,
P62805,P62805,,H4C1,,1.37077E+06
P62807,P62807,,H2BC4,,1.56251E+06
P62820,P62820,,RAB1A,,185453
P62826,P62826,,RAN,,229105
P62829,P62829,,RPL23,,104059
P62834,P62834,,RAP1A,,
P62837,P62837,,UBE2D2,,
P62841,P62841,,RPS15,,69810.6
P62847,P62847,,RPS24,,61064.2
P62851,P62851,,RPS25,,117613
P62854,P62854,,RPS26,,218201
P62857,P62857,,RPS28,,156163
P62861,P62861,,FAU,,47008.7
P62873,P62873,,GNB1,,28875.5
P62877,P62877,,RBX1,,12350
P62879,P62879,,GNB2,,81884.7
P62888,P62888,,RPL30,,88916.1
P62891,P62891,,RPL39,,8626.8
P62899,P62899,,RPL31,,203452
P62906,P62906,,RPL10A,,160747
P62910,P62910,,RPL32,,30447.3
P62913,P62913,,RPL11,,85126.8
P62917,P62917,,RPL8,,244819
P62937,P62937,,PPIA,,236410
P62942,P62942,,FKBP1A,,104320
P62979,P62979,,RPS27A,,1.28514E+06
P62987,P62987,,UBA52,,566.834
P62993,P62993,,GRB2,,17104.2
P62995,P62995,,TRA2B,,22215
P63000,P63000,,RAC1,,132813
P63010,P63010,,AP2B1,,33250.5
P63027,P63027,,VAMP2,,65128.3
P63096,P63096,,GNAI1,,15135
P63098,P63098,,PPP3R1,,859.409
P63104,P63104,,YWHAZ,,208075
P63146,P63146,,UBE2B,,1386.03
P63151,P63151,,PPP2R2A,,12611.9
P63165,P63165,,SUMO1,,30435.9
P63167,P63167,,DYNLL1,,10447.6
P63172,P63172,,DYNLT1,,199.026
P63173,P63173,,RPL38,,72276.5
P63208,P63208,,SKP1,,12876.9
P63218,P63218,,GNG5,,2492.89
P63220,P63220,,RPS21,,53238.1
P63241,P63241,,EIF5A,,74465.3
P63244,P63244,,RACK1,,43251.5
P63261,P63261,,ACTG1,,190998
P63267,P63267,,ACTG2,,14028.1
P63272,P63272,,SUPT4H1,,8766.05
P63279,P63279,,UBE2I,,14619.6
P63302,P63302,,SELENOW,,
P63313,P63313,,TMSB10,,16607.1
P67775,P67775,,PPP2CA,,2130.4
P67809,P67809,,YBX1,,41406.4
P67812,P67812,,SEC11A,,22268.3
P67870,P67870,,CSNK2B,,17863.6
P67936,P67936,,TPM4,,65320.2
P68032,P68032,,ACTC1,,195891
P68036,P68036,,UBE2L3,,21255.1
P68104,P68104,,EEF1A1,,924205
P68106,P68106,,FKBP1B,,
P68133,P68133,,ACTA1,,1444.74
P68363,P68363,,TUBA1B,,12861.1
P68366,P68366,,TUBA4A,,161809
P68371,P68371,,TUBB4B,,325562
P68400,P68400,,CSNK2A1,,17633.8
P68402,P68402,,PAFAH1B2,,180442
P68431,P68431,,H3C1,,1.85038E+06
P68543,P68543,,UBXN2A,,
P68871,P68871,,HBB,,228695
P69891,P69891,,HBG1,,
P69905,P69905,,HBA1,,88207
P78310,P78310,,CXADR,,2920.36
P78316,P78316,,NOP14,,1627.23
P78318,P78318,,IGBP1,,5831.61
P78330,P78330,,PSPH,,7805.29
P78332,P78332,,RBM6,,4213.63
P78344,P78344,,EIF4G2,,22307.6
P78345,P78345,,RPP38,,13667.3
P78346,P78346,,RPP30,,7304.22
P78347,P78347,,GTF2I,,29611.4
P78352,P78352,,DLG4,,1827.26
P78356,P78356,,PIP4K2B,,3845.24
P78362,P78362,,SRPK2,,3879.58
P78364,P78364,,PHC1,,92.5472
P78369,P78369,,CLDN10,,1183.25
P78371,P78371,,CCT2,,64954.8
P78381,P78381,,SLC35A2,,6041.62
P78382,P78382,,SLC35A1,,91.3228
P78383,P78383,,SLC35B1,,
P78406,P78406,,RAE1,,7793.19
P78417,P78417,,GSTO1,,76055.5
P78426,P78426,,NKX6-1,,3259.55
P78524,P78524,,DENND2B,,2784.83
P78527,P78527,,PRKDC,,44467.5
P78536,P78536,,ADAM17,,1738.32
P78537,P78537,,BLOC1S1,,5624.39
P78540,P78540,,ARG2,,8133.45
P78549,P78549,,NTHL1,,3348.45
P78559,P78559,,MAP1A,,12867.2
P78560,P78560,,CRADD,,3244.78
P80188,P80188,,LCN2,,4592.21
P80217,P80217,,IFI35,,2363.95
P80303,P80303,,NUCB2,,86832
P80404,P80404,,ABAT,,74772.4
P80723,P80723,,BASP1,,2783.22
P81274,P81274,,GPSM2,,
P81605,P81605,,DCD,,21383
P81877,P81877,,SSBP2,,
P82094,P82094,,TMF1,,6355.07
P82650,P82650,,MRPS22,,12034.5
P82663,P82663,,MRPS25,,7057.21
P82664,P82664,,MRPS10,,9607.32
P82673,P82673,,MRPS35,,4196.96
P82675,P82675,,MRPS5,,3802.75
P82909,P82909,,MRPS36,,13550.3
P82912,P82912,,MRPS11,,12251.8
P82914,P82914,,MRPS15,,7649.4
P82921,P82921,,MRPS21,,5817.44
P82930,P82930,,MRPS34,,14700.8
P82932,P82932,,MRPS6,,1419.46
P82933,P82933,,MRPS9,,18212.7
P82970,P82970,,HMGN5,,31258.5
P82979,P82979,,SARNP,,44789.6
P82980,P82980,,RBP5,,
P83111,P83111,,LACTB,,3153.04
P83436,P83436,,COG7,,15985.8
P83731,P83731,,RPL24,,57499.9
P83881,P83881,,RPL36A,,5966.88
P83916,P83916,,CBX1,,19221.3
P84022,P84022,,SMAD3,,2221.97
P84085,P84085,,ARF5,,42475.9
P84090,P84090,,ERH,,26614.7
P84095,P84095,,RHOG,,12391.1
P84098,P84098,,RPL19,,176080
P84101,P84101,,SERF2,,1400.44
P84103,P84103,,SRSF3,,99393.8
P84157,P84157,,MXRA7,,26022
P85037,P85037,,FOXK1,,8579.09
P86790,P86790,,CCZ1B,,3590.72
P98082,P98082,,DAB2,,3205.95
P98155,P98155,,VLDLR,,4726.88
P98160,P98160,,HSPG2,,4678.23
P98170,P98170,,XIAP,,5918.69
P98172,P98172,,EFNB1,,425.362
P98173,P98173,,FAM3A,,2671.1
P98174,P98174,,FGD1,,
P98175,P98175,,RBM10,,10296.9
P98179,P98179,,RBM3,,36989.1
P98194,P98194,,ATP2C1,,7148.62
P98196,P98196,,ATP11A,,1218.54
P99999,P99999,,CYCS,,60629.5
Q00013,Q00013,,MPP1,,13786.3
Q00059,Q00059,,TFAM,,44291.4
Q00169,Q00169,,PITPNA,,19234.5
Q00266,Q00266,,MAT1A,,6150.21
Q00325,Q00325,,SLC25A3,,160001
Q00341,Q00341,,HDLBP,,52726.5
Q00403,Q00403,,GTF2B,,3755.95
Q00534,Q00534,,CDK6,,
Q00535,Q00535,,CDK5,,17429
Q00536,Q00536,,CDK16,,
Q00577,Q00577,,PURA,,75174.2
Q00587,Q00587,,CDC42EP1,,2597.47
Q00610,Q00610,,CLTC,,121175
Q00613,Q00613,,HSF1,,2532.16
Q00653,Q00653,,NFKB2,,3790.59
Q00688,Q00688,,FKBP3,,89661.8
Q00765,Q00765,,REEP5,,60176.7
Q00796,Q00796,,SORD,,42617.7
Q00839,Q00839,,HNRNPU,,216971
Q00978,Q00978,,IRF9,,1056.87
Q01082,Q01082,,SPTBN1,,60194.8
Q01085,Q01085,,TIAL1,,46980.7
Q01101,Q01101,,INSM1,,6399.73
Q01105,Q01105,,SET,,59166.9
Q01130,Q01130,,SRSF2,,131807
Q01201,Q01201,,RELB,,
Q01415,Q01415,,GALK2,,13688.9
Q01432,Q01432,,AMPD3,,4547.47
Q01433,Q01433,,AMPD2,,38389.2
Q01459,Q01459,,CTBS,,13859
Q01469,Q01469,,FABP5,,93802.1
Q01484,Q01484,,ANK2,,2455.31
Q01518,Q01518,,CAP1,,95204.9
Q01581,Q01581,,HMGCS1,,3053.74
Q01628,Q01628,,IFITM3,,852.631
Q01650,Q01650,,SLC7A5,,5378.81
Q01658,Q01658,,DR1,,9946.46
Q01780,Q01780,,EXOSC10,,4641.49
Q01804,Q01804,,OTUD4,,2310.81
Q01813,Q01813,,PFKP,,15998.9
Q01814,Q01814,,ATP2B2,,61.1111
Q01831,Q01831,,XPC,,3022.94
Q01844,Q01844,,EWSR1,,78695.1
Q01968,Q01968,,OCRL,,12753.6
Q01970,Q01970,,PLCB3,,1494.26
Q01973,Q01973,,ROR1,,
Q01974,Q01974,,ROR2,,478.11
Q01995,Q01995,,TAGLN,,13889.1
Q02040,Q02040,,AKAP17A,,2615.58
Q02078,Q02078,,MEF2A,,2056.62
Q02083,Q02083,,NAAA,,5895.37
Q02086,Q02086,,SP2,,1169.81
Q02108,Q02108,,GUCY1A1,,2042.47
Q02127,Q02127,,DHODH,,9088.93
Q02153,Q02153,,GUCY1B1,,3130.52
Q02156,Q02156,,PRKCE,,916.2
Q02218,Q02218,,OGDH,,50165.6
Q02252,Q02252,,ALDH6A1,,40971.5
Q02318,Q02318,,CYP27A1,,14971.5
Q02338,Q02338,,BDH1,,17750.6
Q02388,Q02388,,COL7A1,,4866.25
Q02410,Q02410,,APBA1,,899.702
Q02413,Q02413,,DSG1,,2218.59
Q02447,Q02447,,SP3,,2397.84
Q02487,Q02487,,DSC2,,6794.92
Q02539,Q02539,,H1-1,,1621.66
Q02543,Q02543,,RPL18A,,23300.3
Q02742,Q02742,,GCNT1,,2410.01
Q02750,Q02750,,MAP2K1,,12557.6
Q02790,Q02790,,FKBP4,,42808.6
Q02809,Q02809,,PLOD1,,3358.57
Q02818,Q02818,,NUCB1,,29681.5
Q02833,Q02833,,RASSF7,,
Q02878,Q02878,,RPL6,,200826
Q02880,Q02880,,TOP2B,,10978.8
Q02952,Q02952,,AKAP12,,11357.4
Q02978,Q02978,,SLC25A11,,45947.1
Q03001,Q03001,,DST,,9184.07
Q03013,Q03013,,GSTM4,,2436.56
Q03111,Q03111,,MLLT1,,3111.86
Q03113,Q03113,,GNA12,,1674.31
Q03135,Q03135,,CAV1,,20092.7
Q03154,Q03154,,ACY1,,4064.4
Q03164,Q03164,,KMT2A,,773.536
Q03167,Q03167,,TGFBR3,,4454.92
Q03169,Q03169,,TNFAIP2,,799.994
Q03188,Q03188,,CENPC,,3444.52
Q03252,Q03252,,LMNB2,,192668
Q03393,Q03393,,PTS,,8892.78
Q03426,Q03426,,MVK,,3480.54
Q03468,Q03468,,ERCC6,,
Q03518,Q03518,,TAP1,,5504.62
Q03519,Q03519,,TAP2,,2599.38
Q03701,Q03701,,CEBPZ,,4493.48
Q04206,Q04206,,RELA,,7363.05
Q04323,Q04323,,UBXN1,,12709.4
Q04446,Q04446,,GBE1,,19085.9
Q04637,Q04637,,EIF4G1,,49155.6
Q04656,Q04656,,ATP7A,,1617.94
Q04695,Q04695,,KRT17,,7379.14
Q04724,Q04724,,TLE1,,
Q04725,Q04725,,TLE2,,3127.76
Q04726,Q04726,,TLE3,,922.639
Q04760,Q04760,,GLO1,,40426.1
Q04837,Q04837,,SSBP1,,103362
Q04864,Q04864,,REL,,1275.53
Q04917,Q04917,,YWHAH,,52865.7
Q04941,Q04941,,PLP2,,57301
Q05048,Q05048,,CSTF1,,6245.65
Q05084,Q05084,,ICA1,,5560.69
Q05086,Q05086,,UBE3A,,8130.69
Q05193,Q05193,,DNM1,,40894
Q05209,Q05209,,PTPN12,,5653.73
Q05329,Q05329,,GAD2,,21864.2
Q05397,Q05397,,PTK2,,11717.8
Q05519,Q05519,,SRSF11,,9525.41
Q05639,Q05639,,EEF1A2,,77850.8
Q05655,Q05655,,PRKCD,,4092.63
Q05682,Q05682,,CALD1,,37098.2
Q05823,Q05823,,RNASEL,,472.419
Q05932,Q05932,,FPGS,,1593.3
Q05940,Q05940,,SLC18A2,,
Q05BV3,Q05BV3,,EML5,,
Q05D32,Q05D32,,CTDSPL2,,1205.15
Q06124,Q06124,,PTPN11,,15197.2
Q06136,Q06136,,KDSR,,3724.57
Q06141,Q06141,,REG3A,,2904.1
Q06190,Q06190,,PPP2R3A,,
Q06203,Q06203,,PPAT,,4758.7
Q06210,Q06210,,GFPT1,,40246.9
Q06265,Q06265,,EXOSC9,,2960.1
Q06278,Q06278,,AOX1,,12892.9
Q06323,Q06323,,PSME1,,78472.4
Q06330,Q06330,,RBPJ,,909.327
Q06481,Q06481,,APLP2,,1295.64
Q06546,Q06546,,GABPA,,2025.69
Q06547,Q06547,,GABPB1,,2844.24
Q06587,Q06587,,RING1,,13671.1
Q06787,Q06787,,FMR1,,4690.19
Q06830,Q06830,,PRDX1,,277141
Q07002,Q07002,,CDK18,,359.358
Q07020,Q07020,,RPL18,,150632
Q07021,Q07021,,C1QBP,,37533.6
Q07065,Q07065,,CKAP4,,64891.8
Q07075,Q07075,,ENPEP,,4703.65
Q07157,Q07157,,TJP1,,13264.9
Q07352,Q07352,,ZFP36L1,,4887.71
Q07617,Q07617,,SPAG1,,1777.68
Q07666,Q07666,,KHDRBS1,,55662
Q07812,Q07812,,BAX,,41255.6
Q07817,Q07817,,BCL2L1,,6291.2
Q07820,Q07820,,MCL1,,1500.8
Q07837,Q07837,,SLC3A1,,1862.4
Q07866,Q07866,,KLC1,,12497.9
Q07889,Q07889,,SOS1,,4779.72
Q07890,Q07890,,SOS2,,716.98
Q07954,Q07954,,LRP1,,5160.37
Q07955,Q07955,,SRSF1,,98902.8
Q07960,Q07960,,ARHGAP1,,59604.1
Q08117,Q08117,,TLE5,,3724.42
Q08170,Q08170,,SRSF4,,18735.7
Q08174,Q08174,,PCDH1,,1459.86
Q08188,Q08188,,TGM3,,1595.21
Q08209,Q08209,,PPP3CA,,18993.3
Q08211,Q08211,,DHX9,,60092.5
Q08257,Q08257,,CRYZ,,83719.9
Q08289,Q08289,,CACNB2,,1697.79
Q08345,Q08345,,DDR1,,2422.04
Q08357,Q08357,,SLC20A2,,2097.91
Q08378,Q08378,,GOLGA3,,11952.7
Q08379,Q08379,,GOLGA2,,22376.9
Q08380,Q08380,,LGALS3BP,,123739
Q08426,Q08426,,EHHADH,,6555.19
Q08431,Q08431,,MFGE8,,1607.94
